0.2,-0.48,0.48,-0.6,1.44,-1.44,1.0,-2.4,2.4,
0.2,-0.24,-0.24,-0.6,0.72,0.72,1.0,-1.2,-1.2,
0.2,0.0,-0.48,-0.6,0.0,1.44,1.0,0.0,-2.4,
0.2,0.24,-0.24,-0.6,-0.72,0.72,1.0,1.2,-1.2,
0.2,0.48,0.48,-0.6,-1.44,-1.44,1.0,2.4,2.4,

0.2,0.6,1.0,-0.48,-1.44,-2.4,0.48,1.44,2.4,
0.2,0.6,1.0,-0.24,-0.72,-1.2,-0.24,-0.72,-1.2,
0.2,0.6,1.0,0.0,0.0,0.0,-0.48,-1.44,-2.4,
0.2,0.6,1.0,0.24,0.72,1.2,-0.24,-0.72,-1.2,
0.2,0.6,1.0,0.48,1.44,2.4,0.48,1.44,2.4,

0.2,0.48,0.48,0.6,1.44,1.44,1.0,2.4,2.4,
0.2,0.24,-0.24,0.6,0.72,-0.72,1.0,1.2,-1.2,
0.2,0.0,-0.48,0.6,0.0,-1.44,1.0,0.0,-2.4,
0.2,-0.24,-0.24,0.6,-0.72,-0.72,1.0,-1.2,-1.2,
0.2,-0.48,0.48,0.6,-1.44,1.44,1.0,-2.4,2.4,

0.2,-0.6,1.0,0.48,-1.44,2.4,0.48,-1.44,2.4,
0.2,-0.6,1.0,0.24,-0.72,1.2,-0.24,0.72,-1.2,
0.2,-0.6,1.0,0.0,0.0,0.0,-0.48,1.44,-2.4,
0.2,-0.6,1.0,-0.24,0.72,-1.2,-0.24,0.72,-1.2,
0.2,-0.6,1.0,-0.48,1.44,-2.4,0.48,-1.44,2.4,

